и;113;6,775%
в;50;2,998%
на;40;2,398%
она;29;1,739%
он;23;1,379%
с;23;1,379%
как;20;1,199%
волчиха;19;1,139%
не;19;1,139%
а;18;1,079%
по;18;1,079%
что;18;1,079%
уже;16;0,959%
к;15;0,899%
то;13;0,779%
от;12;0,719%
его;11;0,659%
щенок;11;0,659%
это;11;0,659%
все;10;0,600%
ее;10;0,600%
волчата;9;0,540%
за;8;0,480%
него;8;0,480%
у;8;0,480%
когда;7;0,420%
была;6;0,360%
ей;6;0,360%
игнат;6;0,360%
нее;6;0,360%
но;6;0,360%
опять;6;0,360%
были;5;0,300%
быть;5;0,300%
вдруг;5;0,300%
время;5;0,300%
думала;5;0,300%
крышу;5;0,300%
ним;5;0,300%
потом;5;0,300%
себе;5;0,300%
теперь;5;0,300%
арапка;4;0,240%
белолобый;4;0,240%
будто;4;0,240%
бы;4;0,240%
был;4;0,240%
было;4;0,240%
го;4;0,240%
далеко;4;0,240%
дверь;4;0,240%
должно;4;0,240%
зимовье;4;0,240%
кричал;4;0,240%
морду;4;0,240%
очень;4;0,240%
при;4;0,240%
свою;4;0,240%
сильно;4;0,240%
хлев;4;0,240%
хлеву;4;0,240%
чем;4;0,240%
чтобы;4;0,240%
ягненок;4;0,240%
большой;3;0,180%
вернулся;3;0,180%
весь;3;0,180%
вперед;3;0,180%
даже;3;0,180%
дороги;3;0,180%
едва;3;0,180%
есть;3;0,180%
еще;3;0,180%
здоровья;3;0,180%
их;3;0,180%
лапами;3;0,180%
мать;3;0,180%
насту;3;0,180%
нга;3;0,180%
немного;3;0,180%
них;3;0,180%
ночью;3;0,180%
обыкновенно;3;0,180%
они;3;0,180%
пахло;3;0,180%
прежде;3;0,180%
раз;3;0,180%
снег;3;0,180%
спать;3;0,180%
спустил;3;0,180%
стал;3;0,180%
стала;3;0,180%
так;3;0,180%
ход;3;0,180%
ходи;3;0,180%
ягнята;3;0,180%
бежала;2;0,120%
белым;2;0,120%
больно;2;0,120%
бу;2;0,120%
бывало;2;0,120%
быстро;2;0,120%
взобралась;2;0,120%
во;2;0,120%
волка;2;0,120%
волчатам;2;0,120%
впереди;2;0,120%
где;2;0,120%
глаза;2;0,120%
глупых;2;0,120%
глядя;2;0,120%
голове;2;0,120%
голод;2;0,120%
две;2;0,120%
дело;2;0,120%
детей;2;0,120%
дома;2;0,120%
дрова;2;0,120%
друг;2;0,120%
друга;2;0,120%
дыру;2;0,120%
жадностью;2;0,120%
же;2;0,120%
залаял;2;0,120%
запахом;2;0,120%
зимовью;2;0,120%
зимовья;2;0,120%
зубами;2;0,120%
зубы;2;0,120%
играть;2;0,120%
иногда;2;0,120%
кость;2;0,120%
который;2;0,120%
крепко;2;0,120%
кругом;2;0,120%
куры;2;0,120%
лаем;2;0,120%
лапой;2;0,120%
ли;2;0,120%
лоб;2;0,120%
малейшего;2;0,120%
март;2;0,120%
машина;2;0,120%
мня;2;0,120%
мордой;2;0,120%
мучил;2;0,120%
навоза;2;0,120%
нему;2;0,120%
ничего;2;0,120%
ночь;2;0,120%
о;2;0,120%
оглянулась;2;0,120%
одностволкой;2;0,120%
остановился;2;0,120%
отчего;2;0,120%
охоту;2;0,120%
паром;2;0,120%
пахнуло;2;0,120%
петухи;2;0,120%
пни;2;0,120%
побежала;2;0,120%
под;2;0,120%
поиграть;2;0,120%
полный;2;0,120%
поодаль;2;0,120%
породы;2;0,120%
потемках;2;0,120%
похожие;2;0,120%
почувствовав;2;0,120%
пошел;2;0,120%
протянул;2;0,120%
пугали;2;0,120%
ружье;2;0,120%
сараем;2;0,120%
своей;2;0,120%
своих;2;0,120%
слабости;2;0,120%
собак;2;0,120%
собака;2;0,120%
солнце;2;0,120%
сосали;2;0,120%
сосну;2;0,120%
